title,url,id,scrape date,price,body,fuel,odometer,transmission,VIN,condition,title status,engine displacement (CC),paint color,street legal,type,delivery available,odometer broken,odometer rolled over,cryptocurrency ok,Unnamed: 20
Kawasaki EN500 (Vulcan) 1990,https://portland.craigslist.org/mlt/mcy/d/portland-kawasaki-en500-vulcan-1990/7583869336.html,7583869336.0,"02/02/2023, 15:05:15","$1,000",Kawasaki EN500 (Vulcan) Motorcycle. Very good condition. Needs new gas tank or maintenance on existing one (gas leaks out) so ability to transport necessary. Other than that no known issues. Comes with Motorcycle helmet and jacket (large).,gas,4619.0,manual,,good,clean,500.0,blue,yes,cruiser,,,,,
Electric Scooter/Moped Vespa Style!! Brand NEW!,https://portland.craigslist.org/mlt/mcd/d/lake-oswego-electric-scooter-moped/7583869075.html,7583869075.0,"02/02/2023, 15:05:18","$2,995","THE MOST BEAUTIFUL RETRO ELECTRIC Scooter! 100% electric, charge anytime anywhere such as an iPhone! Aventura-X has finally arrived to the US! We use high quality LG removable batteries making it so convenient to charge! The future of electric is here. ORDER YOURS NOW at aventura-x.com. We DELIVER TO YOU.

YOUTUBE INFOMERCIAL: https://www.youtube.com/watch?v=EvCIo-yyfBA&t=30s

NO MAINTENANCE! NO MORE EXPENSIVE GAS PRICES! SAVE LONG TERM with a 100% ELECTRIC Aventura-X

Aventura-X is ranked top 5 best electric scooters in the world.

We also have financing options interest free with splitit.

Model Number: EV29

Motor Power: 2900W Brushless DC Motor

Max Speed: 30mph and 50mph

LG Battery: 72V20AH Lithium (removable battery, 100% charged in 2 hours with our fast charger)

Range Per Charge: 35 Miles per battery (70 miles total with two batteries)

Analog Dashboard

Weight of the vehicle : 160 LBS

Max loading capacity: 330 LBS

Mechanical Brakes: Front and rear disc brakes

Tire size: 3.5 – 10’’ Tubeless

Vehicle Size: 73″ X 28″ X 44″

Extra pocket available to store phone, speaker, air pods etc..

Comes with 2keys + charger

We offer a 1 year warranty on our motor, battery and chassis and free 30 day returns!

All Scooters are fully tested and inspected prior to shipping

aventura-x.com

Aventura-X Lifestyle Video (Our Favorite Video): https://www.youtube.com/watch?v=Z5JiIc0uA_g&t=13s
Aventura-X Electric EV29 70 miles Range review: https://www.youtube.com/watch?v=r1wgpTsm6w0&t=9s
Aventura-X Electric at Electrify Expo CA: https://www.youtube.com/watch?v=nO8I1BdVVIQ
Aventura-X Electric at Electrify Expo FL: https://www.youtube.com/watch?v=SpcMVOXS5Ds
Aventura-X at Micromobility in San Francisco: https://www.youtube.com/watch?v=F1IIr4sJoTM


Aventura-X instagram: https://www.instagram.com/aventura_x_/?hl=en

You can also contact 518-423-3466 for any questions",electric,300000.0,automatic,,,,,,,,yes,,,,
2011 DRZ400S LOW MILES,https://portland.craigslist.org/clc/mcy/d/oregon-city-2011-drz400s-low-miles/7583863765.html,7583863765.0,"02/02/2023, 15:05:22","$5,000","Selling my DRZ. It'll be sad to see it go but I don't have time to ride it and it's just taking up space and collecting dust.
Very good condition, mostly stock, and the things I did change I probably still have the stock parts too.
3132 Miles
Dunlop D606 rear
Pirelli MT21 front
Acerbis Handguards
Thumper Talk Case Savers
Ricochet Skid Plate
Precision Rear Rack
Rox Bar Risers
Devol Lowering Links
DRC Edge Fender Eliminator

Search words:
DRZ DRZ400 DR-400S DR-400 S",gas,3100.0,manual,,excellent,clean,400.0,white,,dual,,,,,
1998 Honda cr125,https://portland.craigslist.org/clk/mcy/d/chehalis-1998-honda-cr125/7583814375.html,7583814375.0,"02/02/2023, 15:05:25","$2,350","98 Honda cr125r. Runs good, fresh piston kit, fmf fatty & turbine core spark arrestor silencer. New plastics, comes with 2 seats (one lowered, one standard). Title in hand. Let me know if you have questions. $2350.00 obo may consider part trade for vintage cr or xr75

Honda yamaha suzuki ktm Kawasaki husky 125 cr yz em kx sx yz125 rm125 kx125 125sx",gas,111.0,manual,,good,clean,125.0,red,,dirtbike,,,yes,,
Husqvarna FX 450,https://portland.craigslist.org/clc/mcy/d/eagle-creek-husqvarna-fx-450/7583793095.html,7583793095.0,"02/02/2023, 15:05:28","$9,000","Selling a completely stock FX 450, extra sprocket and chain included. Has 12.8 hours on it, clean title in hand.",gas,1.0,manual,,,,,,,,,,,,
2009 kawasaki versys,https://portland.craigslist.org/clk/mcy/d/columbia-city-2009-kawasaki-versys/7583776494.html,7583776494.0,"02/02/2023, 15:05:28","$4,250","Runs and rides excellent, always maintained, adult owned, 2 seats - the Corbin is more comfortable, lowered correctly great for a 5 1/2 ft tall rider Dunlop rubber, brand new black widow muffler, not too loud which was an overall performance improvement, price is firm cash only title in hand
Text only: (three six zero) nine eight zero - zero zero zero one.",gas,18000.0,manual,,excellent,clean,650.0,blue,yes,sport bike,,,,,
2015 Kawasaki Ninja 650,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2015-kawasaki-ninja-650/7583774096.html,7583774096.0,"02/02/2023, 15:05:31","$5,500","Very low mileage 2015 Kawasaki Ninja 650. Very Nice Bike, Excellent Condition, Clean and Clear title

350 Miles

Trade ins welcome
We Buy Bikes

Shown By Appointment

Need to sell your motorcycle?? We Pay Cash for Your Motorcycle

We do not, have not, will not, deal with salvage bikes

We Are Often Imitated, Never Duplicated!

Shown By Appointment
503-693-8811",gas,350.0,manual,,excellent,clean,650.0,black,,cruiser,,,,,
2015 Kawasaki Vulcan S ABS,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2015-kawasaki-vulcan-abs/7583772913.html,7583772913.0,"02/02/2023, 15:05:33","$5,500","2015 Kawasaki Vulcan S ABS, 650cc, Windshield, Bags, pretty nice bike, 3900 miles

Trade ins welcome
We Buy Bikes

Shown By Appointment

Need to sell your motorcycle?? We Pay Cash for Your Motorcycle

We do not, have not, will not, deal with salvage bikes

We Are Often Imitated, Never Duplicated!

Shown By Appointment
503-693-8811",gas,3900.0,manual,,excellent,clean,650.0,black,,cruiser,,,,,
2015 Honda VT1300CX Fury,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2015-honda-vt1300cx-fury/7583772731.html,7583772731.0,"02/02/2023, 15:05:36","$7,900","It's a Chopper Baby!!!

Very Nice 2015 Honda VT1300CX Fury, 1300cc V-twin motor, 5 speed shaft drive, fuel injected, upgraded bars, upgraded exhaust, excellent condition, 7k miles

Trade ins welcome
Cash for your Bike!

Not What You Are Looking For?
Check out the webpage allensalley.net
We Can Locate Any Make or Model For You As Well

We Will Buy Your Trade Ins No Matter Where You Buy!

We do not, have not, will not, deal with salvage bikes

Shown By Appointment",gas,7005.0,manual,,excellent,clean,1300.0,red,,cruiser,,,,,
2022 Harley Davidson FXBB Street Bob,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2022-harley-davidson-fxbb/7583772447.html,7583772447.0,"02/02/2023, 15:05:38","$16,500","2022 Harley Davidson FXBB Street Bob, 800 miles, 114 Milwaukee Eight motor, 6 speed, Warranty, Custom styling, low miles, sharp bike, excellent condition

No added fees!!

Oregon and The Northwest’s Longest Continuously Owned and Operated Licensed Independent Motorcycle Dealer

Trade ins welcome
Cash for your Bike!!
Financing Available

We do not, have not, will not, deal with salvage bikes

We Pay Cash for Your Bike


We Are Often Imitated, Never Duplicated!

Shown by appointment",gas,770.0,manual,,like new,clean,114.0,black,,,,,,,
2019 Harley Davidson FLDE,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2019-harley-davidson-flde/7583768102.html,7583768102.0,"02/02/2023, 15:05:40","$17,900","No Added Fees!!

2019 Harley Davidson FLDE Softail Deluxe, 107 Milwaukee Eight motor, 6 speed, ABS, Security, Chrome Laced Wheels with Whitewall Tires, Classic Retro 50's Styling. Low Miles

Trade Ins Welcome

We Buy Bikes

Shown By Appointment
Bike is in excellent condition!

Trade Ins Welcome
We Buy Bikes, Paid For or Not

Oregon and The Northwest’s Longest Continuously Owned and Operated Licensed Independent Motorcycle Dealer, Often Imitated, Never Duplicated!

Not What You Are Looking For?
Check out the webpage allensalley.net

We Can Locate Any Make or Model For You As Well
Cash For Your Motorcycle

We do not, have not, will not, deal with salvage bikes

Shown By Appointment
503-693-8811
This is not a cell phone

PORTLAND, GRESHAM, HILLSBORO, BEAVERTON, OREGON, WASHINGTON, IDAHO, CALIFORNIA",gas,955.0,manual,,like new,clean,107.0,black,,cruiser,,,,,
2008 Harley Davidson XL1200C Sportster Low,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2008-harley-davidson-xl1200c/7583767931.html,7583767931.0,"02/02/2023, 15:05:44","$5,900","2008 Harley Davidson XL1200C Sportster Low, 5 speed, fuel injected, passenger backrest.
Two tone white and gray, Vance and Hines exhaust, bike is in excellent condition

Trade Ins Welcome

We Buy Bikes
No added fees!!

Oregon and The Northwest’s Longest Continuously Owned and Operated Licensed Independent Motorcycle Dealer

Trade ins welcome
Cash for your Bike!!
Great Financing Available

We Buy Bikes

We do not, have not, will not, deal with salvage bikes

We Pay Cash for Your Bike

Shown By Appointment
503-693-8811
This is not a cell phone",gas,7700.0,manual,,good,clean,1200.0,white,,cruiser,,,,,
2022 Harley-Davidson Road Glide ST FLTRXST Black,https://portland.craigslist.org/clk/mcd/d/gladstone-2022-harley-davidson-road/7583767821.html,7583767821.0,"02/02/2023, 15:05:45","$25,588","Volcano Harley-Davidson
address: 870 E Berkeley St Gladstone OR, 97027
phone: ☎ (503) 987-3471 ext 13
text: Text 13 to (503) 987-3471 for more details
link: https://www.volcanoharley.com/inventory/2022-harley-davidson-road-glide-st-fltrxst-black-touring-1hd1acl19nb629175/
contact: Sales
2022 HARLEY-DAVIDSON ROAD GLIDE ST FLTRXST BLACK
Info
Type: Touring
Stock #: U629175
VIN: 1HD1ACL19NB629175
Details
Color: Black
Condition: Used
Drivetrain
Odometer: 561
Description
Road Glide ST FLTRXSTA sleek performance bagger that projects more attitude than ever, backed up with a street-scorching Milwaukee Eight 117. Hang on and grab that throttle, to Infinity and beyond.This bagger has it all, sound system, style, power, and performance.With only 561 miles, it's waiting for you, please call today and test ride this beast.
Volcano Harley-Davidson
address: 870 E Berkeley St Gladstone OR, 97027
phone: ☎ (503) 987-3471 ext 13
text: Text 13 to (503) 987-3471 for more details
link: https://www.volcanoharley.com/inventory/2022-harley-davidson-road-glide-st-fltrxst-black-touring-1hd1acl19nb629175/
contact: Sales",gas,561.0,other,1HD1ACL19NB629175,,clean,,black,,,,,,,
2021 Harley Davidson FLTRXS Road Glide Special,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2021-harley-davidson-fltrxs/7583767730.html,7583767730.0,"02/02/2023, 15:05:48","$29,500","No Added Fees, No Market Adjustment, No B.S.

Mint Condition 2021 Harley Davidson FLTRXS Road Glide Special, Vivid Black, 114 Milwaukee Eight Motor, Vance and Hines exhaust, Screaming Eagle air intake, Upgraded handlebars, floor board extensions, upgraded grips, ABS, Security, RDRS, Very Sharp Bike!!

Also available: 2022 FLTRXS, 2022 FLTRX-ST, 2022 FLHXS

Finance Available

Trade ins Welcome

We Buy Bikes
Trade ins welcome
Oregon and The Northwest’s Longest Continuously Owned and Operated Licensed Independent Motorcycle Dealer

Trade ins welcome
Cash for your Bike!!
Great Financing Available OAC

Need to sell your motorcycle?? We Pay Cash for Your Bike

Not What You Are Looking For?
Check out the webpage allensalley.net

We Can Locate Any Make or Model For You As Well

We Buy Bikes

We do not, have not, will not, deal with salvage bikes

We Are Often Imitated, Never Duplicated!

Shown By Appointment",gas,1255.0,manual,,like new,clean,114.0,black,,touring,,,,,
2015 Harley Davidson FLS Softail Slim,https://portland.craigslist.org/wsc/mcd/d/hillsboro-2015-harley-davidson-fls/7583767532.html,7583767532.0,"02/02/2023, 15:05:48","$12,500","2015 Harley Davidson FLS Softail Slim, 103 Twin Cam, 6 speed, Two tone Charcoal Satin/Vivid Black Satin, ABS brakes, security Upgraded handlebars, upgraded vance and hines exhaust, Nice low custom bobber look

Bike runs great, Clean title

Trade ins welcome
Cash for your Bike!!

Nice low custom bobber look

We do not, have not, will not, deal with salvage bikes",gas,8500.0,manual,,excellent,clean,103.0,black,,cruiser,,,,,
2009 Ducati Multistrada 1100S,https://portland.craigslist.org/mlt/mcy/d/portland-2009-ducati-multistrada-1100s/7583731097.html,7583731097.0,"02/02/2023, 15:05:51","$6,000","2009 Multistrada, last of the air-cooled in Arctic white and with plenty nice additions. I’m the third owner, the bike has 18,500 miles, and has always had regular maintenance performed. I just picked it up from MotoCorsa, just spent $2,000 having the big 15k mile service done on it where everything on the bike was gone through. I had a new chain replaced as well as front and rear sprockets, and rear brake pads. I have receipts from all service and all additions on the bike going back to when the bike was new.

The S model comes equipped with a carbon fender belt covers and accessories, Brembo brakes, Arrow exhaust. The previous owner added a rear carbon fender/chain guard. S model also includes Ohlins adjustable shocks and Marchesi forged rims.
The bike has a great upright riding position, very comfortable on and off road.
The previous owner added a bunch of items to increase the off-road confidence. They include; upgraded foot pegs folding shift and brake levers, crash bars, cylinder head guard, Strada Avventurosa accessories, sump guard, off-road lighting with PIAA flood lights, off-road fender mount, fork guards. Also barkbuster hand guards, handle bar bag, 12v plug in and Ram mount for your iPhone

Included with this bike is another set of Marchesi Rims. (Although there are tires on these spare rims, they need replaced) The bike comes equipped with a luggage rack and rack extension and also an inner changeable back rest. For the $6000 price tag is included T Rex front and rear wheel lifts and tools to change out the wheels and chain adjustment wrench. I have all the original parts to return it back to stock. I also have all receipts for the aftermarket parts as well as service records documented. Test drives only allowed with letting me hold onto $6000cash while you take the bike out. Must also have helmet and motorcycle endorsement. Serious inquires only. Clean title in hand

Make me an offer",gas,18500.0,manual,,excellent,clean,1100.0,white,yes,sport touring,yes,,,,
2004 yamaha ttr225 motorcycle,https://portland.craigslist.org/clk/mcy/d/brush-prairie-2004-yamaha-ttr225/7583697431.html,7583697431.0,"02/02/2023, 15:05:53","$2,100","Tt-r 225 Yamaha 2004
New back tire
Front tire has a lot of life left.
Electric start
Led light that is very bright.
Pro taper bars
Runs great with no issues
360five1821three..four.
Sold with Bill of sale




Ttr 230 250 200 honda kawasaki crf 150 250 xr200 xr250 xr
.",gas,1000.0,manual,,,,,,,,,,,,
2003 Harley Davidson,https://portland.craigslist.org/mlt/mcy/d/troutdale-2003-harley-davidson/7583693904.html,7583693904.0,"02/02/2023, 15:05:55","$5,000","100 year anniversary edition Harley sportster 1200c. Runs great, everything is proper working order, upgraded led lights and blinkers, saddle bags,foot pegs,new seat and a few other things, 13,000 miles",gas,13000.0,manual,,excellent,clean,1200.0,silver,yes,street,,,,,
2009 Harley davidson sportster xr1200,https://portland.craigslist.org/clc/mcy/d/canby-2009-harley-davidson-sportster/7583685725.html,7583685725.0,"02/02/2023, 15:05:55","$8,200","Harley xr1200 excellent cond. Bank has the title. good Oregon plates/tags $8200,00 obo, Cash only. If you do not leave message phone I will not respond.",gas,5786.0,manual,,excellent,,1200.0,,,,,,,,
2019 Yamaha Tracer 900 Adventure Sport Reduced Price! SKU: PKA000701,https://portland.craigslist.org/mlt/mcd/d/portland-2019-yamaha-tracer-900/7583678993.html,7583678993.0,"02/02/2023, 15:05:58","$9,999","Description:

2019 Yamaha Tracer 900 with SW-Motech crash bars and Givi top case, literally like new with just over 1K miles on it, charismatic three-cylinder engine with variable ride modes, a super fun-to-ride adventure/sport-touring bike! * Used bikes do not have warranty, but coverage can be purchased for additional cost.

2019 Yamaha Tracer 900
TURN UP YOUR EMOTIONS
Adaptable performance, good value and a long list of sport touring features makes this bike the perfect ride partner.
Features may include:
Engine
Advanced 3-Cylinder Powerplant
The Tracer 900 features an 847cc liquid-cooled, inline 3-cylinder, DOHC, 12-valve engine derived from the award winning MT-09. This engine combines high-tech components such as offset cylinders, fracture-split connecting rods and staggered intake funnels with a crossplane concept crankshaft to deliver an exciting, sporty engine character with plenty of torque for flexibility and relaxed highway comfort.
Crossplane Concept CP3® Engine
The Tracer 900 “crossplane crankshaft concept” engine provides linear torque development in response to the rider’s throttle input, for responsive engine thrust with a strong feeling of power in the low- to mid-rpm range. To boost refinement and provide a smoother ride, the CP3 engine uses a compact counterbalancer to cancel out vibration.
Assist and Slipper Clutch
Yamaha’s assist and slipper clutch gives the rider smoother, more confident downshifts when entering corners aggressively, as well as a lighter pull effort at the lever in day-to-day riding, all while easily handling the torque of the 847cc high-output motor.
Electronics
Yamaha Chip Controlled Throttle
The ride-by-wire YCC-T system senses the slightest throttle input by the rider, instantaneously calculates the ideal throttle valve opening, and then actuates the throttle valves to actively control intake volume. This technology contributes to the rider’s feeling of torque and controllability from the 3-cylinder engine.
Selectable Engine Character
The Tracer 900 is equipped with Yamaha D-MODE (or “Drive Mode”) variable throttle control system. The rider can choose at will from three throttle valve control maps for different throttle response characteristics, each tuned specifically for the Tracer 900.
Chassis/Suspension
Plush, Controlled Suspension
For excellent damping characteristics, the front suspension is an inverted fork with 41mm inner tubes with 5.4 inches of travel. The front suspension features adjustment for spring preload and rebound damping.
Compact, Horizontal Monoshock
The rear suspension features a linked-type Monocross® shock. The shock is positioned below the seat and features an almost horizontal alignment. This unique positioning contributes to mass centralization and a slimmer body design. The rear suspension is also adjustable for spring preload and rebound damping.
Powerful, Controllable Brakes
Front brakes consist of two floating 298mm discs with 4-piston calipers. The calipers are radial mounted for improved feel just like Yamaha’s race-winning supersport machines. The standard anti-lock brake system (ABS) works to help prevent wheel lock during hard deceleration for additional braking security.
Additional
New Bodywork and Windscreen
The new windscreen is now taller, for improved wind protection and features a new one-handed adjustment system to three positions without the use of tools. Front nose to tail, the Tracer 900 features updated bodywork for a higher-quality, more cleanly integrated design.
Standard Centerstand
The Tracer 900 comes standard with a centerstand for added rider convenience when parking or performing cleaning and maintenance.
Motocorsa
Ask for: Sales
☎ (503) 292-7488
2170 NW Wilson St Portland, OR 97210
Visit us at: www.motocorsa.com

Why buy from a dealership rather than a private party? MotoCorsa has been the #1 Ducati dealer in North America six times and specializes in quality pre-owned motorcycles that are inspected by our highly trained technicians. We can assist in financing your dream motorcycle as well as protect your investment with warranty coverage and/or GAP insurance. We offer Team Oregon rider discounts on our extensive selection of safety apparel. And we can assist with transporting your new bike to your home.

MotoCorsa accepts trade-ins and offers consignment sales.
A27FBAFAEA464DBBB650D168074EE06C 35771699 11025634",gas,1204.0,manual,JYARN60E6KA000701,like new,clean,847.0,grey,yes,sport touring,yes,,,,
2019 Kawasaki Versys-X 300 Low Seat Lower Price! SKU: CKDA02177,https://portland.craigslist.org/mlt/mcd/d/portland-2019-kawasaki-versys-300-low/7583678811.html,7583678811.0,"02/02/2023, 15:06:01","$4,999","Description:

2019 Kawasaki Versys-X 300 (non-ABS model) fully equipped for adventuring with Oxford heated handgrips, Barkbusters Storm hand guards, SW-Motech crash bars, Happy Trail SL racks (for soft luggage--not included), a SHAD SH42 top case, and more. PLUS this bike has been lowered with a customized seat, aftermarket suspension link, adjustable sidestand and centerstand. (We have the stock parts to return it to original if preferred.) PLUS it was just serviced including all new hydraulic fluids, a valve inspection, and a fresh set of Dunlop Trailmax Mission tires. This bike needs NOTHING but a new owner! * Used bikes do not have warranty, but coverage can be purchased for additional cost.

2019 Kawasaki Versys®-X 300
THE KAWASAKI DIFFERENCE
ANY ROAD, ANY TIME.
Designed to be the ideal travel partner, the Versys®-X 300 is built for adventure. Having a compact and responsive, Ninja®-derived 296cc twin-cylinder engine makes it one of a kind. A lightweight chassis and long-travel suspension provide sporty and nimble handling. Whether commuting or long-distance riding, the Versys-X 300 is your ticket to adventure.
Features may include:
ADVENTURE STYLED
Upright seating, ample wind protection and a convenient rear carrier make this motorcycle ready for any adventure
Bold design, long-travel suspension and spoke wheels exude an adventurous spirit
VERSABILITY
ROAD WARRIOR
Capable of conquering rural backroads, worn down city streets and smooth, interstate highways
COMFORT & ACCESSORIES
READY FOR AN ADVENTURE
Comfort and customizability are prioritized so that all you have to do is enjoy the ride. Adventure comes easy with all-day comfort and accessories to customize your riding experience.
Motocorsa
Ask for: Sales
☎ (503) 292-7488
2170 NW Wilson St Portland, OR 97210
Visit us at: www.motocorsa.com

Why buy from a dealership rather than a private party? MotoCorsa has been the #1 Ducati dealer in North America six times and specializes in quality pre-owned motorcycles that are inspected by our highly trained technicians. We can assist in financing your dream motorcycle as well as protect your investment with warranty coverage and/or GAP insurance. We offer Team Oregon rider discounts on our extensive selection of safety apparel. And we can assist with transporting your new bike to your home.

MotoCorsa accepts trade-ins and offers consignment sales.
A27FBAFAEA464DBBB650D168074EE06C 35769783 11025702",gas,8569.0,manual,JKALE8B19KDA02177,excellent,clean,296.0,grey,yes,dual,yes,,,,
2022 Kawasaki Z900 ABS Like New Reduced Price! SKU: TNA036903,https://portland.craigslist.org/mlt/mcd/d/portland-2022-kawasaki-z900-abs-like/7583677946.html,7583677946.0,"02/02/2023, 15:06:01","$8,499","Description:

2022 Kawasaki Z900 ABS literally like new with just 342 miles on it! * Used bikes do not have warranty, but coverage can be purchased for additional cost.

2022 Kawasaki Z900 ABS
DOMINATE
The Z900 ABS motorcycle epitomizes Kawasaki's belief of what the ideal supernaked should be. At 948cc with an ultra-lightweight chassis, every ride is met with exceptional power, responsiveness and excitement.
Features may include:
PERFORMANCE
SUPERB BALANCE OF POWER AND HANDLING
With an optimized power-to-weight ratio, the Z900 ABS motorcycle delivers the ultimate supernaked performance.
Z STYLING
RAW & REFINED
Featuring Sugomi™ -inspired styling, the Z900 ABS motorcycle has noticeably aggressive shrouds, fuel tank cover, and under cowls. They're compact and undeniably contribute to the sharp image.
ERGONOMICS
BECOME ONE
Sporty and relaxed upright ergonomics with heads-up visibility allows for a commanding ride position that places the rider “in” the bike for a confident and connected riding experience.
RIDER EXPERIENCE
THRILLING & LIVELY
The Z900 ABS motorcycle makes rider experience a top priority whether you’re throttling through twisty back roads, city streets or cruising the open highway.
ELECTRONICS
NEXT-LEVEL TECH
Fitted with high-grade electronics, the Z900 ABS merges raw power with state-of-the-art technology.
ADDITIONAL VEHICLE
KTRC (Kawasaki Traction Control)
Power Mode and Integrated Riding Modes selection
Smartphone Connectivity via RIDEOLOGY THE APP
TFT Color Instrumentation
Aggressive styling with LED headlamp, position lamp & license plate lamp
Dunlop Sportmax Roadsport 2 Tires
Motocorsa
Ask for: Sales
☎ (503) 292-7488
2170 NW Wilson St Portland, OR 97210
Visit us at: www.motocorsa.com

Why buy from a dealership rather than a private party? MotoCorsa has been the #1 Ducati dealer in North America six times and specializes in quality pre-owned motorcycles that are inspected by our highly trained technicians. We can assist in financing your dream motorcycle as well as protect your investment with warranty coverage and/or GAP insurance. We offer Team Oregon rider discounts on our extensive selection of safety apparel. And we can assist with transporting your new bike to your home.

MotoCorsa accepts trade-ins and offers consignment sales.
A27FBAFAEA464DBBB650D168074EE06C 35742572 11025705",gas,342.0,manual,JKAZR2F15NA036903,like new,clean,948.0,black,yes,standard,yes,,,,
2018 Ducati Scrambler 1100 Low Miles Reduced Price! SKU: TJB002169,https://portland.craigslist.org/mlt/mcd/d/portland-2018-ducati-scrambler-1100-low/7583676280.html,7583676280.0,"02/02/2023, 15:06:04","$9,998","Description:

2018 Ducati Scrambler 1100 with just 4K miles on it, totally stock except for a tail tidy with LED taillight and turnsignals. * Used bikes do not have warranty, but coverage can be purchased for additional cost.

2018 Ducati Scrambler 1100
Bigger and more muscular than ever, but always manageable and agile. Just the way Scrambler intended. Because the 1100 is not just the most powerful Scrambler ever, thanks to the Monster’s engine; there’s also a lot of technology on board and a lot of work behind it. The seat is high and wide, comfortable for two; the pace is longer, the fork is increased and renewed, just like the tank, that is very capacious. But the cycling is the same one that made Scrambler a legend. And the borders of the Land of Joy can’t be seen anymore, not even on the horizon.
Motocorsa
Ask for: Sales
☎ (503) 292-7488
2170 NW Wilson St Portland, OR 97210
Visit us at: www.motocorsa.com

Why buy from a dealership rather than a private party? MotoCorsa has been the #1 Ducati dealer in North America six times and specializes in quality pre-owned motorcycles that are inspected by our highly trained technicians. We can assist in financing your dream motorcycle as well as protect your investment with warranty coverage and/or GAP insurance. We offer Team Oregon rider discounts on our extensive selection of safety apparel. And we can assist with transporting your new bike to your home.

MotoCorsa accepts trade-ins and offers consignment sales.
A27FBAFAEA464DBBB650D168074EE06C 35718291 11025745",gas,4420.0,manual,ZDMKAFCPXJB002169,excellent,clean,1079.0,black,yes,standard,yes,,,,
2015 MV Agusta F3 800 Reduced Price! SKU: TFV005639,https://portland.craigslist.org/mlt/mcd/d/portland-2015-mv-agusta-f3-800-reduced/7583675292.html,7583675292.0,"02/02/2023, 15:06:04","$10,999","Description:

Gorgeous fire-engine-red 2015 MV Agusta F3 800 nicely ungraded with a Passerini Performance exhaust, keyless gas cap, tail tidy, and more! * Used bikes typically do not have warranty, but coverage can be purchased for additional cost.

2015 MV Agusta F3 800
The exhilaration of a 1000cc Superbike with the handling of a 600cc Supersport. The torque of a V-twin and the rev limit of a four-cylinder, The MV Agusta F3 800 is the new performance frontier, the avantgarde three-cylinder motorcycle proudly made in Italy,
Features May Include:
Technical
Three-cylinder inline 798 cc engine
Bore 79.0 mm, stroke 54.3 mm (8.4 mm more than the F3 675)
Max. power 148 hp at 13,000 rpm (20 hp more than the F3 675)
Max. torque 88 Nm at 10,600 rpm
13,500 rpm limiter
Slipper clutch
Dry weight: 173 kg (same as the F3 675)
Power-to-weight ratio: 1.17 kg/hp (13.5% less than the F3 675, which has a ratio of 1.35 kg/hp)
New front brake set-up with Brembo monobloc calipers • Pirelli Diablo Rosso Corsa tyres
Engine
Bore diameter remains unaltered at 79.0 mm, while the stroke has been increased from 45.9 mm to 54.3 mm, boosting displacement from 675 cc to 798 cc. Power output reaches a stunning 148 hp at 13,000 rpm, with the peak torque of 88 Nm arriving at 10,600 rpm. The rev limiter has been set to kick in at 13,500 rpm. A double overhead cam timing system with four titanium valves per cylinder gives awesome performance, especially at high revs. Improvements have also been made to the fuel injectors, which ensure higher flow rates than those on the F3 675.
Electronics
The 3-cylinder MV Agusta project features the most advanced electronics package ever seen in the mid-weight category, with the MVICS (Motor & Vehicle Integrated Control System) platform combining fully electronic control of throttle and throttle body with traction control.
At the technological heart of the MVICS platform lies the Full Ride By Wire system: moment by moment, this defines the ideal throttle body aperture independently of the angular rotation of the twist grip. There is, in fact, no rigid mechanical linkage between throttle and butterfly: the optimum fuel-air mix is, instead, defined by injection-ignition mapping, giving best-ever performance at all times and under all load conditions.
Chassis
The same excellence that made its smaller sister bike so successful is, of course, an essential part of the MV Agusta F3 800. For a start, the wheelbase is a mere 1,380 mm, a record-breaking measurement that forms the foundation of this three-cylinder bike’s exceptional handling. The frame is the result of a clever combination of a main ALS tubular steel structure, a mid-section consisting of cast aluminium side plates and an extended swingarm (576.5 mm) designed to maximise traction.
A sophisticated 43 mm Marzocchi front fork - with 125 mm of travel, adjustable spring preload and compression and rebound adjustment – features dedicated settings that let the rider wring every last drop of excitement from the higher-performance 800 cc engine.
Motocorsa
Ask for: Sales
☎ (503) 292-7488
2170 NW Wilson St Portland, OR 97210
Visit us at: www.motocorsa.com

Why buy from a dealership rather than a private party? MotoCorsa has been the #1 Ducati dealer in North America six times and specializes in quality pre-owned motorcycles that are inspected by our highly trained technicians. We can assist in financing your dream motorcycle as well as protect your investment with warranty coverage and/or GAP insurance. We offer Team Oregon rider discounts on our extensive selection of safety apparel. And we can assist with transporting your new bike to your home.

MotoCorsa accepts trade-ins and offers consignment sales.
A27FBAFAEA464DBBB650D168074EE06C 35315853 11025752",gas,7388.0,manual,ZCGGEGNU2FV005639,excellent,clean,798.0,custom,yes,sport bike,yes,,,,
